ababa	a<r>bab<vr>a<va>
aliboni	a<neg>li<g5>bon<vr>i<vg>
alikadluli	a<neg>li<g5>ka<asp>dlul<vr>i<vg>
alindele	a<s1>lind<vr>el<xa>e<vs>
aliphakamise	a<hort>li<s5>phakam<vr>is<xc>e<vs>, a<i6>li<o5>phakam<vr>is<xc>e<vps>, a<s1>li<o5>phakam<vr>is<xc>e<vs>
alisabashiseli	a<neg>li<g5>sa<asp>ba<o2>sh<vr>is<xc>el<xa>i<vg>
alishaye	a<hort>li<s5>shay<vr>e<vs>
alishisi	a<neg>li<g5>sh<vr>is<xc>i<vg>
alithole	a<i6>li<o5>thol<vr>e<vps>
aliveze	a<neg>li<g5>vez<vr>e<vps>
alize	a<hort>li<s5>z<vr>e<vs>
alokhu	a<i6>lokhu<mr>
alomisile	a<i6>lom<vr>is<xc>ile<vpl>
alotsholwa	a<i6>lotshol<vr>w<xp>a<va>
altare	altare<nr>
aluhlaza	a<i6>luhlaza<ar>
alunga	a<i6>lung<vr>a<va>
aluphethe	a<i6>lu<o11>pheth<vr>e<vps>
alusekho	a<neg>lu<g11>se<asp>kho<adv>
alushi	a<neg>lu<g11>sh<vr>i<vg>
alwa	a<i6>lw<vr>a<va>
ama	a<i6>m<vr>a<va>
amaambulense	a<iv>ma<n6>ambulense<nr>
amabhasi	a<iv>ma<n6>bhasi<nr>
amabhodlela	a<iv>ma<n6>bhodlela<nr>
amabili	a<r>ma<n6>bili<ar>
amabunzi	a<iv>ma<n6>bunzi<nr>
amabutho	a<iv>ma<n6>buth<vr>o<in>
amacala	a<iv>ma<n6>cala<nr>
amadlangala	a<iv>ma<n6>dlangala<nr>
amadoda	a<iv>ma<n6>doda<nr>
amadodakazi	a<iv>ma<n6>doda<nr>kazi<fem>
amadodana	a<iv>ma<n6>dod<nr>ana<dim>
amafasitela	a<iv>ma<n6>fasitela<nr>
amafu	a<iv>ma<n6>fu<nr>
amafutha	a<z6_iv>ma<n6>futha<nr>
amagama	a<iv>ma<n6>gama<nr>
amagilo	a<iv>ma<n6>gilo<nr>
amagogolo	a<iv>ma<n6>gogolo<nr>
amahebezi	a<z6_iv>ma<n6>hebez<vr>i<hum>, a<z6_iv>ma<n6>hebezi<nr>
amahlanu	a<r>ma<n6>hlanu<ar>
amahleza	a<iv>ma<n6>hleza<nr>
amahlombe	a<iv>ma<n6>hlombe<nr>
amakhala	a<z6_iv>ma<n6>khala<nr>
amakhasi	a<iv>ma<n6>khasi<nr>
amakhehla	a<iv>ma<n6>khehla<nr>
amakhekhe	a<iv>ma<n6>khekhe<nr>
amakholwa	a<iv>ma<n6>khol<vr>w<xp>a<der>
amakhosikazi	a<iv>ma<n6>khosi<nr>kazi<fem>
amakhulu	a<r>ma<n6>khulu<ar>
amalambu	a<iv>ma<n6>lambu<nr>
amaloli	a<iv>ma<n6>loli<nr>
amanani	a<iv>ma<n6>nani<nr>
amandla	a<iv>ma<n6>ndla<nr>
amandwandwe	a<iv>ma<n6>ndwandwe<nr>
amane	a<i6>mane<mr>
amanesi	a<iv>ma<n6>nesi<nr>
amanga	a<iv>ma<n6>nga<nr>
amangale	a<i6>mangal<vr>e<vps>, a<s1>mangal<vr>e<vs>
amangalisa	a<i6>mangal<vr>is<xc>a<va>
amangelengele	a<iv>ma<n6>ngele<red>ngele<nr>
amangqoza	a<iv>ma<n6>ngqoza<nr>
amangwevu	a<iv>ma<n6>ngwevu<nr>
amanhlakomuzi	a<iv>ma<n6>n<n9>hlak<nr>o<iv>mu<n3>zi<nr>
amaningi	a<r>ma<n6>ningi<ar>
amanqe	a<iv>ma<n6>nqe<nr>
amantombazana	a<iv>ma<n6>ntombaz<nr>ana<dim>
amantombazane	a<iv>ma<n6>ntombaz<nr>ane<dim>
amanye	a<r>ma<n6>nye<ar>
amaphayiphi	a<iv>ma<n6>phayiphi<nr>
amaphepha	a<iv>ma<n6>phepha<nr>
amaphephandaba	a<iv>ma<n6>phepha<nr>n<n9>daba<nr>
amaphinifo	a<iv>ma<n6>phinifo<nr>
amaphoyisa	a<iv>ma<n6>phoyisa<nr>
amaphuzu	a<iv>ma<n6>phuzu<nr>
amapotimende	a<iv>ma<n6>potimende<nr>
amaprojekthi	a<iv>ma<n6>projekthi<nr>
amaprojekti	a<iv>ma<n6>projekti<nr>
amaqabunga	a<iv>ma<n6>qabunga<nr>
amaqakala	a<iv>ma<n6>qakala<nr>
amaqembu	a<iv>ma<n6>qembu<nr>
amaqhawe	a<iv>ma<n6>qhawe<nr>
amaqhude	a<iv>ma<n6>qhude<nr>
amarandi	a<iv>ma<n6>randi<nr>
amashumi	a<iv>ma<n6>shumi<nr>
amasi	a<iv>ma<n6>si<nr>
amathambo	a<iv>ma<n6>thambo<nr>
amathathu	a<r>ma<n6>thathu<ar>
amathe	a<iv>ma<n6>the<nr>
amathini	a<iv>ma<n6>thini<nr>
amathinzane	a<iv>ma<n6>thinz<nr>ane<dim>
amathoshi	a<iv>ma<n6>thoshi<nr>
amatiye	a<iv>ma<n6>tiye<nr>
amatshe	a<iv>ma<n6>tshe<nr>
amawadi	a<iv>ma<n6>wadi<nr>
amawundlu	a<iv>ma<n6>wundlu<nr>
amayembe	a<iv>ma<n6>yembe<nr>
amayenjana	a<iv>ma<n6>yenj<nr>ana<dim>
amazambane	a<iv>ma<n6>zambane<nr>
amazinyo	a<iv>ma<n6>zinyo<nr>
amazwe	a<iv>ma<n6>zwe<nr>
amazwi	a<iv>ma<n6>zw<vr>i<der>
ambone	a<s1>m<o1>bon<vr>e<vs>
ambuyisele	a<s1>m<o1>buy<vr>is<xc>el<xa>e<vs>
ambuzisise	a<i6>m<o1>buz<vr>isis<xi>e<vps>
amcele	a<i6>m<o1>cel<vr>e<vps>
amcusukela	a<i6>m<o1>cusuk<vr>el<xa>a<va>
ame	a<i6>m<vr>e<vps>, a<s1>m<o1>e<vs>, a<s1>m<vr>e<vs>
amehlo	a<iv>me<n6>hlo<nr>
ameme	a<s1>mem<vr>e<vs>
amenza	a<r>m<o1>enz<p1_vr>a<va>
amfanisayo	a<r>m<o1>fan<vr>is<xc>a<va>yo<rsf>
amfanise	a<s1>m<o1>fan<vr>is<xc>e<vs>
amfice	a<s1>m<o1>fic<vr>e<vs>
ami	a<z6>mi<pr1s>
amkhakhabisela	a<i6>m<o1>khakhab<vr>is<xc>el<xa>a<va>
amlethele	a<s1>m<o1>leth<vr>el<xa>e<vs>, a<s6>m<o1>leth<vr>el<xa>e<vs>
amnike	a<i6>m<o1>nik<vr>e<vps>
amphendule	a<i6>m<o1>phendul<vr>e<vps>, a<s1>m<o1>phendul<vr>e<vs>, a<s6>m<o1>phendul<vr>e<vs>
amshiya	a<i6>m<o1>shiy<vr>a<va>
amteta	a<i6>m<o1>tet<vr>a<va>
amthola	a<i6>m<o1>thol<vr>a<va>
amthungatha	a<i6>m<o1>thungath<vr>a<va>
amtshele	a<i6>m<o1>tshel<vr>e<vps>, a<s1>m<o1>tshel<vr>e<vs>, a<s6>m<o1>tshel<vr>e<vs>
amuzwe	a<i6>mu<o1>z<vr>w<xp>e<vps>, a<s1>mu<o1>zw<vr>e<vs>
amxoshe	a<i6>m<o1>xosh<vr>e<vps>, a<s1>m<o1>xosh<vr>e<vs>
amyeke	a<i6>m<o1>yek<vr>e<vps>, a<s1>m<o1>yek<vr>e<vs>, a<s6>m<o1>yek<vr>e<vs>
ana	ana<nr>
anakwe	a<i6>nak<vr>w<xp>e<vps>, a<s1>nak<vr>w<xp>e<vs>, a<s6>nak<vr>w<xp>e<vs>
ancono	a<i6>ncono<ar>
andise	and<s6_vr>is<xc>e<vs>
anesisindo	a<i6>n<p>e<iv>si<n7>sind<vr>o<in>
anezimali	a<i6>n<p>e<iv>zi<n10>mali<nr>
angabasiza	a<s6>nga<neg>ba<o2>siz<vr>a<va>
angabe	a<i6>nga<asp>be<mr>
angabi	a<s1>nga<neg>b<vr>i<vg>, a<s6>nga<neg>b<vr>i<vg>
angabulawa	a<s6>nga<asp>bula<vr>w<xp>a<va>
angabuyi	a<s6>nga<neg>buy<vr>i<vg>
angafike	a<s6>nga<pot>fik<vr>e<vs>
angafiki	a<s1>nga<neg>fik<vr>i<vg>, a<s6>nga<neg>fik<vr>i<vg>
angagezi	a<s1>nga<neg>gez<vr>i<vg>
angahamba	a<s1>nga<asp>hamb<vr>a<va>
angahambi	a<s1>nga<neg>hamb<vr>i<vg>, a<s6>nga<neg>hamb<vr>i<vg>
angahlela	a<s1>nga<asp>hlel<vr>a<va>
angakapholi	a<r>nga<neg>ka<asp>phol<vr>i<vg>
angakaya	a<i6>nga<neg>ka<asp>y<vr>a<va>
angake	a<i6>nga<asp>ke<mr>
angakuboni	a<s6>nga<neg>ku<o15>bon<vr>i<vg>
angakufisi	a<s1>nga<neg>ku<o15>fis<vr>i<vg>
angakuphika	a<r>nga<neg>ku<o2s>phik<vr>a<va>
angakuthatha	a<s6>nga<asp>ku<o2s>thath<vr>a<va>
angalesosikhathi	a<z6>nga<p>le<d>s<d7>o<pos2>si<n7>khathi<nr>
angambulala	a<s1>nga<asp>m<o1>bulal<vr>a<va>
angamdleli	a<s1>nga<neg>m<o1>dl<vr>el<xa>i<vg>
angamdumazi	a<s1>nga<neg>m<o1>dumaz<vr>i<vg>
angamelana	a<i6>nga<asp>m<vr>el<xa>an<xr>a<va>
angamqeda	a<s6>nga<asp>m<o1>qed<vr>a<va>
angamshaya	a<s1>nga<asp>m<o1>shay<vr>a<va>
angaphaphama	a<s1>nga<asp>phapham<vr>a<va>
angaphela	a<s1>nga<pot>phel<vr>a<va>
angaphinde	a<s1>nga<pot>phind<vr>e<vs>
angaphuza	a<s1>nga<asp>phuz<vr>a<va>
angaqeda	a<i6>nga<asp>qed<vr>a<va>
angaqedi	a<s1>nga<neg>qed<vr>i<vg>
angase	a<s1>nga<neg>se<mr>
angashaywa	a<i6>nga<neg>shay<vr>w<xp>a<va>, a<s1>nga<asp>shay<vr>w<xp>a<va>
angasho	a<s1>nga<asp>sho<vr>
angasuka	a<s6>nga<asp>suk<vr>a<va>
angasuke	a<s1>nga<pot>suk<vr>e<vs>
angavuma	a<s6>nga<pot>vum<vr>a<va>
angawaqondi	a<s1>nga<neg>wa<o6>qond<vr>i<vg>, a<s6>nga<neg>wa<o6>qond<vr>i<vg>
angawunyakazisa	a<s6>nga<asp>wu<o3>nyakaz<vr>is<xc>a<va>
angawuthola	a<s1>nga<asp>wu<o3>thol<vr>a<va>
angayazi	a<s6>nga<asp>y<o9>azi<vr>
angayenza	a<s1>nga<asp>y<o9>enz<p1_vr>a<va>
angayenzela	a<s6>nga<asp>y<o9>enz<vr>el<xa>a<va>
angayi	a<s1>nga<neg>y<vr>i<vg>
angayilaleli	a<s1>nga<neg>yi<o4>lalel<vr>i<vg>
angayingeni	a<s1>nga<neg>yi<o4>ngen<vr>i<vg>, a<s1>nga<neg>yi<o9>ngen<vr>i<vg>, a<s6>nga<neg>yi<o4>ngen<vr>i<vg>, a<s6>nga<neg>yi<o9>ngen<vr>i<vg>
angayiqeda	a<s1>nga<asp>yi<o9>qed<vr>a<va>
angazanga	a<neg>ng<g1s>az<vr>anga<vpg>
angaze	a<i6>ngaz<vr>e<vps>, a<s1>nga<neg>ze<mr>
angazi	a<neg>ng<g1s>azi<vr>
angazibona	a<s1>nga<asp>zi<o10>bon<vr>a<va>
angazingcolisi	a<s1>nga<neg>zi<o10>ngcol<vr>is<xc>i<vg>, a<s6>nga<neg>zi<o10>ngcol<vr>is<xc>i<vg>
angebe	a<s6>ng<asp>eb<vr>e<vs>
angeke	a<i6>ngeke<mr>
angena	a<i6>ngen<vr>a<va>
angene	a<i6>ngen<vr>e<vps>, a<s1>ngen<vr>e<vs>, a<s6>ngen<vr>e<vs>
angenzanga	a<neg>ng<g1s>enz<vr>anga<vpg>
angenzani	a<i6>ng<o1s>enz<p1_vr>a<va>ni<int>
angesabi	a<neg>ng<g1s>esab<vr>i<vg>
angeze	a<hort>ng<s1s>ez<vr>e<vs>
angezi	a<s1>ng<neg>ez<vr>i<vg>
angibambela	a<i6>ngi<o1s>bamb<vr>el<xa>a<va>
angibange	a<hort>ngi<s1s>bang<vr>e<vs>
angibazi	a<neg>ngi<g1s>baz<vr>i<vg>
angibizanga	a<neg>ngi<g1s>biz<vr>anga<vpg>
angiboni	a<neg>ngi<g1s>bon<vr>i<vg>
angibuyanga	a<neg>ngi<g1s>buy<vr>anga<vpg>
angidlubulundele	a<hort>ngi<s1s>dlubulund<vr>el<xa>e<vs>
angidonswanga	a<neg>ngi<g1s>dons<vr>w<xp>anga<vpg>
angifundise	a<hort>ngi<s1s>fund<vr>is<xc>e<vs>
angifuni	a<neg>ngi<g1s>fun<vr>i<vg>
angigcinanga	a<neg>ngi<g1s>gcin<vr>anga<vpg>
angigculiswa	a<neg>ngi<g1s>gcul<vr>is<xc>w<xp>a<va>
angigibele	a<neg>ngi<g1s>gibel<vr>e<vps>
angihambe	a<hort>ngi<s1s>hamb<vr>e<vs>
angikaze	a<neg>ngi<g1s>ka<asp>ze<mr>
angikazukuya	a<neg>ngi<g1s>ka<asp>zu<fut>ku<n15>y<vr>a<va>
angikhola	a<neg>ngi<g1s>khol<vr>a<va>
angikusoli	a<neg>ngi<g1s>ku<o15>sol<vr>i<vg>
angikutholi	a<neg>ngi<g1s>ku<o15>thol<vr>i<vg>
angikwazi	a<neg>ngi<g1s>kw<o15>azi<vr>
angikwesabi	a<neg>ngi<g1s>kw<o15>esab<vr>i<vg>
angilandiwe	a<r>ngi<i1s>land<vr>iw<xp>e<vps>
angilethela	a<r>ngi<i1s>lethel<vr>a<va>
angilindele	a<hort>ngi<s1s>lind<vr>el<xa>e<vs>
angilutho	a<neg>ngi<g1s>lu<n11>tho<nr>
angimbonanga	a<neg>ngi<g1s>m<o1>bon<vr>anga<vpg>
angimgijimele	a<hort>ngi<s1s>m<o1>gijim<vr>el<xa>e<vs>
angimnike	a<hort>ngi<s1s>m<o1>nik<vr>e<vs>
angimyeke	a<hort>ngi<s1s>m<o1>yek<vr>e<vs>, a<neg>ngi<g1s>m<o1>yek<vr>e<vps>
anginakukwenza	a<neg>ngi<g1s>na<p>ku<n15>kw<o15>enz<p1_vr>a<va>
anginamali	a<neg>ngi<g1s>na<p>mali<nr>
anginazihlobo	a<neg>ngi<g1s>na<p>zi<n10>hlobo<nr>
angincenge	a<hort>ngi<s1s>nceng<vr>e<vs>
angiphathe	a<hort>ngi<s1s>phath<vr>e<vs>
angiphekile	a<i6>ngi<o1s>phek<vr>ile<vpl>, a<r>ngi<i1s>phek<vr>ile<vpl>
angiphuze	a<hort>ngi<s1s>phuz<vr>e<vs>
angiqonde	a<hort>ngi<s1s>qond<vr>e<vs>
angisafuni	a<neg>ngi<g1s>sa<asp>fun<vr>i<vg>
angisakushiyi	a<neg>ngi<g1s>sa<asp>ku<o15>shiy<vr>i<vg>, a<neg>ngi<g1s>sa<asp>ku<o2s>shiy<vr>i<vg>
angisandi	a<neg>ngi<g1s>s<asp>and<vr>i<vg>
angisaphathi	a<neg>ngi<g1s>sa<asp>phath<vr>i<vg>
angisaphunyulanga	a<neg>ngi<g1s>sa<asp>phunyul<vr>anga<vpg>
angisayithandi	a<neg>ngi<g1s>sa<asp>yi<o4>thand<vr>i<vg>, a<neg>ngi<g1s>sa<asp>yi<o9>thand<vr>i<vg>
angisenalo	a<neg>ngi<g1s>se<asp>na<p>lo<pr5>
angisenalutwetwe	a<neg>ngi<g1s>se<asp>na<p>lu<n11>twetwe<nr>
angiseyona	a<neg>ngi<g1s>se<asp>yo<pr9>na<st>
angishaye	a<hort>ngi<s1s>shay<vr>e<vs>
angisho	a<neg>ngi<g1s>sho<vr>
angithi	a<neg>ngi<g1s>thi<vr>
angithokozi	a<neg>ngi<g1s>thokoz<vr>i<vg>
angitshele	a<hort>ngi<s1s>tshel<vr>e<vs>
angiyazi	a<neg>ngi<g1s>y<o9>azi<vr>
angiyifiseli	a<neg>ngi<g1s>yi<o4>fis<vr>el<xa>i<vg>
angiyifuni	a<neg>ngi<g1s>yi<o4>fun<vr>i<vg>, a<neg>ngi<g1s>yi<o9>fun<vr>i<vg>
angiyiqondi	a<neg>ngi<g1s>yi<o4>qond<vr>i<vg>
angiyobhukada	a<neg>ngi<g1s>yo<fut>bhukad<vr>a<va>
angizalwanga	a<neg>ngi<g1s>zal<vr>w<xp>anga<vpg>
angizange	a<neg>ngi<g1s>zange<mr>
angizokubiza	a<neg>ngi<g1s>zo<fut>ku<o2s>biz<vr>a<va>
angizokubuza	a<neg>ngi<g1s>zo<fut>ku<o2s>buz<vr>a<va>
angizwani	a<neg>ngi<g1s>zw<vr>an<xr>i<vg>
anikezwe	a<i6>nikez<vr>w<xp>e<vps>
anikine	a<i6>nikin<vr>e<vps>
aninamahloni	a<neg>ni<g2p>na<p>ma<n6>hloni<nr>
anisenayo	a<neg>ni<g2p>se<asp>na<p>yo<pr9>
anodabulibhayi	a<r>n<p>o<r>dabul<vr>i<iv_n5>bhayi<nr>
anqamule	a<i6>nqamul<vr>e<vps>
anqandeke	a<i6>nqand<vr>ek<xn>e<vps>, a<s1>nqand<vr>ek<xn>e<vs>, a<s6>nqand<vr>ek<xn>e<vs>
anti	anti<nr>
anxuswe	a<i6>nxus<vr>w<xp>e<vps>
aphanga	a<i6>phang<vr>a<va>
aphansi	a<i6>phansi<adv>
aphawule	a<s1>phawul<vr>e<vs>
aphele	a<i6>phel<vr>e<vps>, a<s1>phel<vr>e<vs>, a<s6>phel<vr>e<vs>
aphengule	a<i6>phengul<vr>e<vps>, a<s1>phengul<vr>e<vs>, a<s6>phengul<vr>e<vs>
aphinde	a<i6>phind<vr>e<vps>, a<s1>phind<vr>e<vs>, a<s6>phind<vr>e<vs>
aphindele	a<i6>phind<vr>el<xa>e<vps>
aphiphithe	a<i6>phiphith<vr>e<vps>, a<s1>phiphith<vr>e<vs>, a<s6>phiphith<vr>e<vs>
aphuma	a<i6>phum<vr>a<va>
aphume	a<i6>phum<vr>e<vps>, a<s1>phum<vr>e<vs>, a<s6>phum<vr>e<vs>
aphuphe	a<i6>phuph<vr>e<vps>, a<s1>phuph<vr>e<vs>, a<s6>phuph<vr>e<vs>
aphuziswe	a<i6>phuz<vr>is<xc>w<xp>e<vps>
aqala	a<i6>qal<vr>a<va>
aqalaze	a<i6>qalaz<vr>e<vps>
aqale	a<r>qal<vr>e<vps>, a<s1>qal<vr>e<vs>, a<s6>qal<vr>e<vs>
aqhela	a<i6>qhel<vr>a<va>
aqhuqhe	a<i6>qhuqh<vr>e<vps>, a<s1>qhuqh<vr>e<vs>
aqhwakele	a<i6>qhwak<vr>el<xa>e<vps>
aqinile	a<i6>qin<vr>ile<vpl>
aqwashe	a<i6>qwash<vr>e<vps>
aroni	aroni<nr>
asabe	a<i6>sab<vr>e<vps>
asafisa	a<i6>sa<asp>fis<vr>a<va>
asakulindile	a<i6>sa<asp>ku<o15>lind<vr>ile<vpl>, a<i6>sa<asp>ku<o2s>lind<vr>ile<vpl>
asamhlupha	a<i6>sa<asp>m<o1>hluph<vr>a<va>
asasele	a<i6>sa<asp>sel<vr>e<vps>
asashiya	a<r>s<i1p>a<asp>shiy<vr>a<va>
asazi	a<neg>s<g7>azi<vr>
asazike	a<neg>s<g1p>azi<vr>ke<ke>
ase	a<i6>s<vr>e<vps>, a<s6>s<vr>e<vs>
asebehamba	a<i6>se<asp>be<past>hamb<vr>a<va>
asebejwayelene	a<i6>se<asp>be<past>jwayel<vr>en<xr>e<vps>
asebekwazi	a<i6>se<asp>be<past>kw<o15>azi<vr>
asebemphuzisile	a<i6>se<asp>be<past>m<o1>phuz<vr>is<xc>ile<vpl>
asebenza	a<i6>sebenz<p1_vr>a<va>
asebenzela	a<i6>sebenz<vr>el<xa>a<va>
asebenzile	a<i6>sebenz<vr>ile<vpl>
asebenzise	a<i6>sebenz<vr>is<xc>e<vps>, a<s1>sebenz<vr>is<xc>e<vs>, a<s6>sebenz<vr>is<xc>e<vs>
asebesebenza	a<i6>sebe<vr>sebenz<p1_vr>a<va>
asebewahlaeunelwe	a<i6>se<asp>be<past>wa<o6>hlaeun<vr>el<xa>w<xp>e<vps>
asebuza	a<i6>se<asp>buz<vr>a<va>
asecabange	a<i6>se<asp>cabang<vr>e<vps>
asecuphe	a<i6>se<asp>cuph<vr>e<vps>, a<i6>se<asp>cuph<vr>e<vs>
asefinyele	a<r>se<asp>finyel<vr>e<vs>
asefuna	a<i6>se<asp>fun<vr>a<va>
asekushilo	a<i6>se<asp>ku<o15>sh<vr>ilo<vpl>
aselindele	a<i6>se<asp>lind<vr>el<xa>e<vps>
aselungisela	a<i6>se<asp>lung<vr>is<xc>el<xa>a<va>
asemhenqa	a<i6>se<asp>m<o1>henq<vr>a<va>
asemqoka	a<i6>se<asp>m<o1>qok<vr>a<va>
asengizonda	a<i6>se<asp>ngi<o1s>zond<vr>a<va>
asenzise	a<i6>s<o1p>enz<vr>is<xc>e<vps>
aseqhubeka	a<i6>se<asp>qhub<vr>ek<xn>a<va>
asethuse	a<r>s<i1p>ethus<vr>e<vps>, a<r>s<i7>ethus<vr>e<vps>
aseyaphela	a<i6>se<asp>ya<asp>phel<vr>a<va>
aseyenzile	a<i6>se<asp>y<o9>enz<vr>ile<vpl>
aseyicabangile	a<i6>se<asp>yi<o9>cabang<vr>ile<vpl>
asezikhohliwe	a<s6>se<asp>zi<o10>khohl<vr>iw<xp>e<vpl>
asezisefweni	a<i6>se<locpf>zi<n10>sefw<nr>eni<locsf>
asezociba	a<i6>se<asp>zo<fut>cib<vr>a<va>
asezoyidlulisa	a<i6>se<asp>zo<fut>yi<o9>dlul<vr>is<xc>a<va>
ashaye	a<r>shay<vr>e<vps>, a<s1>shay<vr>e<vs>
ashayeke	a<i6>shay<vr>ek<xn>e<vps>
ashayise	a<r>shay<vr>is<xc>e<vps>, a<s1>shayis<vr>e<vs>
asheri	asheri<nr>
ashikenaze	ashikenaze<nr>
ashintshe	a<i6>shintsh<vr>e<vps>
ashiye	a<i6>shiy<vr>e<vps>
asho	a<i6>sho<vr>
asibekela	a<i6>si<o7>bek<vr>el<xa>a<va>
asibonge	a<hort>si<s1p>bong<vr>e<vs>
asigudluze	a<hort>si<s1p>gudluz<vr>e<vs>, a<i6>si<o1p>gudluz<vr>e<vps>
asihambe	a<hort>si<s1p>hamb<vr>e<vs>, a<hort>si<s7>hamb<vr>e<vs>
asikasho	a<neg>si<g1p>ka<asp>sho<vr>
asikho	a<neg>si<g7>kho<adv>
asikufuni	a<neg>si<g1p>ku<o2s>fun<vr>i<vg>
asikwazi	a<neg>si<g1p>kw<o15>azi<vr>
asikwenzanga	a<neg>si<g1p>kw<o15>enz<vr>anga<vpg>
asilazi	a<neg>si<g1p>l<o5>az<vr>i<vg>
asilingise	a<hort>si<s1p>ling<vr>is<xc>e<vs>
asinamfundisi	a<neg>si<g7>na<p>m<n1>fund<vr>is<xc>i<vg>
asinamsebenzi	a<neg>si<g1p>na<p>m<n3>sebenz<vr>i<der>
asiphindele	a<hort>si<s1p>phind<vr>el<xa>e<vs>
asiphuthume	a<hort>si<s1p>phuthum<vr>e<vs>
asisafuni	a<neg>si<g7>sa<asp>fun<vr>i<vg>
asisahlezi	a<neg>si<g7>sa<asp>hlez<vr>i<vpl>
asisaphefumuli	a<neg>si<g1p>sa<asp>phefumul<vr>i<vg>, a<neg>si<g7>sa<asp>phefumul<vr>i<vg>
asisazi	a<neg>si<g1p>s<o7>azi<vr>
asitela	a<i6>si<o1p>tel<vr>a<va>
asithole	a<hort>si<s7>thol<vr>e<vs>, a<i6>si<o1p>thol<vr>e<vps>
asitshele	a<hort>si<s1p>tshel<vr>e<vs>, a<i6>si<o1p>tshel<vr>e<vps>
asivakashayo	a<r>si<o7>vakash<vr>a<va>yo<rsf>
asixolele	a<hort>si<s1p>xol<vr>el<xa>e<vs>
asixolelwa	a<neg>si<g1p>xol<vr>el<xa>w<xp>a<va>
asiyiyeke	a<hort>si<s1p>yi<o9>yek<vr>e<vs>
asizame	a<hort>si<s1p>zam<vr>e<vs>
asizange	a<neg>si<g1p>zange<mr>
asizethwele	a<hort>si<s1p>z<o10>ethwel<vr>e<vs>
asiziyeke	a<hort>si<s1p>zi<o10>yek<vr>e<vs>, a<hort>si<s1p>zi<refl>yek<vr>e<vs>
asizona	a<neg>si<g1p>zo<pr10>na<st>
asizosatshiswa	a<hort>si<s1p>zo<fut>satsh<vr>is<xc>w<xp>a<va>
asizwakali	a<neg>si<g7>zw<vr>akal<xn>i<vg>
asola	a<i6>sol<vr>a<va>
asole	a<i6>sol<vr>e<vps>, a<s1>sol<vr>e<vs>, a<s6>sol<vr>e<vs>
asondele	a<i6>sondel<vr>e<vps>
asukuma	a<i6>sukum<vr>a<va>
aswele	a<i6>swel<vr>e<vps>, a<s1>swel<vr>e<vs>, a<s6>swel<vr>e<vs>
athande	a<s1>thand<vr>e<vs>
athathe	a<i6>thath<vr>e<vps>, a<s1>thath<vr>e<vs>, a<s6>thath<vr>e<vs>
athathwe	a<i6>thath<vr>w<xp>e<vps>, a<s1>thath<vr>w<xp>e<vs>, a<s6>thath<vr>w<xp>e<vs>
athenge	a<i6>theng<vr>e<vps>, a<s1>theng<vr>e<vs>
athengisele	a<i6>theng<vr>is<xc>el<xa>e<vps>
athengwa	a<i6>theng<vr>w<xp>a<va>
athi	a<i6>thi<vr>
athini	a<i6>thi<vr>ni<int>
athole	a<i6>thol<vr>e<vps>, a<s1>thol<vr>e<vs>, a<s6>thol<vr>e<vs>
athufele	a<i6>thufel<vr>e<vps>, a<s1>thufel<vr>e<vs>
athukuthele	a<i6>thukuthel<vr>e<vps>, a<s1>thukuthel<vr>e<vs>
athule	a<i6>thul<vr>e<vps>, a<s1>thul<vr>e<vs>, a<s6>thul<vr>e<vs>
athunqisa	a<i6>thunq<vr>is<xc>a<va>
avake	a<i6>vak<vr>e<vps>, a<s1>vak<vr>e<vs>, a<s6>vak<vr>e<vs>
avamele	a<i6>vamel<vr>e<vps>
avamise	a<i6>vamis<vr>e<vps>, a<r>vamis<vr>e<vps>
avele	a<i6>vel<vr>e<vps>, a<s1>vel<vr>e<vs>
avuke	a<i6>vuk<vr>e<vps>, a<s1>vuk<vr>e<vs>, a<s6>vuk<vr>e<vs>
avukwe	a<i6>vuk<vr>w<xp>e<vps>, a<s1>vuk<vr>w<xp>e<vs>, a<s6>vuk<vr>w<xp>e<vs>
avule	a<i6>vul<vr>e<vps>, a<s1>vul<vr>e<vs>, a<s6>vul<vr>e<vs>
avuleka	a<i6>vul<vr>ek<xn>a<va>
awabalekele	a<neg>wa<g6>balek<vr>el<xa>e<vps>
awakhothameli	a<neg>wa<g6>khotham<vr>el<xa>i<vg>
awasale	a<hort>wa<s6>sal<vr>e<vs>
awasenziwa	a<neg>wa<g6>s<asp>enz<vr>iw<xp>a<va>
awathole	a<i6>wa<o6>thol<vr>e<vps>, a<s1>wa<o6>thol<vr>e<vs>, a<s6>wa<o6>thol<vr>e<vs>
awayeke	a<neg>wa<g6>yek<vr>e<vps>
awayikubuyela	a<neg>wa<g6>yi<p>ku<n15>buy<vr>el<xa>a<va>
awazange	a<r>w<i3>a<asp>zang<vr>e<vps>
awazi	a<neg>w<g6>azi<vr>
awebhubesi	a<r>w<z6>e<iv_n5>bhubesi<nr>
awehlukaniswa	a<r>w<i6>ehluk<vr>an<xr>is<xc>w<xp>a<va>
awekho	a<neg>w<g6>ekho<adv>
awela	a<i6>wel<vr>a<va>
awezwe	a<hort>w<s6>ez<vr>w<xp>e<vs>, a<r>w<i6>ezw<vr>e<vps>
awo	a<z6>wo<pr6>
awodwa	a<i6>wo<pr6>dwa<qr>
awu	awu<intj>
